Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.047867,-0.008213,9.809801,0.040681,-0.012094,0.033899,-0.012833,-0.019120,0.120111
0.040000,-0.003183,0.012814,9.811513,-0.001603,0.009567,-0.008918,-0.010030,-0.052587,0.098193
0.080000,0.007797,0.038192,9.811864,0.002191,0.027021,0.028987,-0.011612,0.015801,0.114450
0.120000,0.029152,-0.006962,9.807124,0.035481,-0.018447,-0.009277,0.013870,-0.054554,0.116616
0.160000,0.017064,-0.006718,9.898216,0.018793,0.002006,0.091318,0.059168,-0.005564,0.105314
0.200000,-0.017345,0.026010,9.941444,-0.018986,0.023624,0.129497,0.071676,-0.053855,0.118897
0.240000,-0.010176,-0.055273,9.873473,-0.012639,-0.046795,0.077149,0.002438,-0.033862,0.129124
0.280000,0.021455,-0.002152,9.836893,0.016518,-0.000269,0.015185,0.034364,-0.040785,0.110601
0.320000,-0.016719,-0.006898,9.886485,-0.010927,-0.010116,0.098210,0.026498,-0.035720,0.104844
0.360000,-0.061257,-0.037484,9.879232,-0.047824,-0.003397,0.050608,0.072608,-0.090753,0.108992
0.400000,0.020318,0.010747,9.856347,0.004070,-0.013365,0.052486,0.064145,-0.048233,0.110379
0.440000,-0.006586,0.007418,9.871882,-0.031478,0.001754,0.082923,0.051160,-0.034332,0.073764
0.480000,0.050334,0.039517,9.894842,0.045860,0.045474,0.060918,0.070718,-0.092258,0.115670
0.520000,-0.003669,0.007588,9.834637,0.009571,-0.011685,0.025647,0.064984,-0.090094,0.095118
0.560000,-0.025761,-0.000746,9.844806,-0.018029,0.002728,0.006192,0.111963,-0.109049,0.126901
0.600000,-0.008589,0.045684,9.842147,-0.013680,0.044359,0.013826,0.095636,-0.109418,0.110861
0.640000,-0.031121,-0.025001,9.779837,-0.044533,-0.020130,-0.018191,0.102976,-0.062538,0.119653
0.680000,-0.038261,0.054757,9.754124,-0.026132,0.038237,-0.054601,0.040981,-0.134763,0.073089
0.720000,0.023922,-0.008628,9.766994,0.025166,-0.007578,-0.044822,0.097572,-0.137324,0.082789
0.760000,0.055696,0.037964,9.799184,0.053737,0.036469,-0.033711,0.145002,-0.077429,0.062131
0.800000,0.022754,0.022607,9.767772,0.014109,0.010569,-0.048791,0.134126,-0.105896,0.069501
0.840000,-0.011904,0.005534,9.745566,-0.008468,-0.000317,-0.067078,0.074755,-0.072272,0.105138
0.880000,-0.034776,-0.009656,9.861493,-0.019138,-0.009112,0.054492,0.109342,-0.140390,0.106208
0.920000,-0.028188,-0.011090,9.843998,-0.034400,-0.022194,0.034757,0.095310,-0.130034,0.049736
0.960000,0.050216,0.021933,10.070360,0.038968,-0.003452,0.240791,0.157101,-0.154147,0.059657
1.000000,-0.019906,0.021875,10.211501,-0.019080,0.018701,0.401446,0.131106,-0.139050,0.063312
