Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.005899,0.014986,9.751619,0.010195,0.009407,-0.043132,0.006943,-0.037874,0.074603
0.040000,-0.003441,0.016302,9.844328,0.003275,0.024832,0.003494,0.026700,0.007562,0.068977
0.080000,-0.001129,0.012964,9.810988,-0.013675,0.022104,0.016021,0.043229,0.033571,0.078885
0.120000,-0.024070,0.049091,9.789856,-0.032884,0.049518,-0.000954,0.006265,0.042484,0.063332
0.160000,0.040362,0.034329,9.798257,0.050034,0.034515,-0.014964,0.026492,0.053649,0.092365
0.200000,0.040694,0.044351,9.785606,0.029048,0.049574,-0.028422,-0.030240,0.087690,0.076784
0.240000,0.050249,0.064665,9.810493,0.051699,0.062255,-0.009516,-0.000898,0.045776,0.059199
0.280000,0.044821,0.076470,9.815352,0.050926,0.067388,-0.024667,-0.008375,0.069173,0.076278
0.320000,0.045016,0.111687,9.796458,0.047952,0.099812,-0.001885,0.008564,0.117338,0.015578
0.360000,0.025055,0.093900,9.755677,0.032888,0.079777,-0.045646,0.040280,0.055008,0.041549
0.400000,0.038803,0.056858,9.855172,0.052012,0.070006,0.021040,0.006247,0.100245,0.040258
0.440000,0.081104,0.077513,9.807076,0.073343,0.089143,-0.017011,-0.023442,0.131839,0.043428
0.480000,0.046170,0.097123,9.833289,0.048377,0.100019,0.011288,-0.031585,0.136400,-0.009354
0.520000,0.092475,0.096130,9.827769,0.086303,0.095327,0.026617,0.041146,0.129048,0.013051
0.560000,0.022218,0.090575,9.836724,0.019346,0.092959,0.009836,0.012847,0.132111,0.019394
0.600000,0.023249,0.040597,9.846022,0.017763,0.046124,0.023974,0.011206,0.098943,0.013939
0.640000,0.049266,0.019492,9.750844,0.069726,0.022536,-0.061999,-0.008586,0.147378,0.021084
0.680000,0.024481,0.097885,9.786440,0.033148,0.093052,-0.014786,0.006710,0.094854,0.005585
0.720000,0.095142,0.057122,9.844693,0.089448,0.070418,0.033092,-0.024649,0.093788,-0.017772
0.760000,0.061148,0.077766,9.850004,0.073896,0.054332,0.015277,0.009724,0.120916,-0.009798
0.800000,0.080723,0.061119,9.849044,0.076993,0.060909,0.055454,-0.029295,0.098719,-0.033832
0.840000,0.046658,0.087595,9.849134,0.060565,0.077086,0.051131,-0.008851,0.107037,-0.033075
0.880000,0.021811,0.051921,9.809571,0.021647,0.057721,0.008988,-0.015850,0.104803,-0.025957
0.920000,0.019789,0.044883,9.796278,0.003689,0.039140,-0.007559,-0.081065,0.124064,-0.048179
0.960000,0.070952,-0.006707,9.781011,0.063206,-0.007708,-0.028753,-0.008066,0.088596,-0.044976
1.000000,-0.019110,-0.006568,9.810104,-0.000602,-0.015136,-0.014274,-0.021499,0.058164,-0.037405
1.040000,0.065363,-0.059741,9.804674,0.056879,-0.057755,-0.012247,-0.003718,0.073965,-0.046231
1.080000,0.052333,0.008291,9.793115,0.034111,-0.007225,-0.017797,0.002449,0.033090,-0.039038
1.120000,0.042492,-0.022198,9.786605,0.014522,-0.007277,-0.027550,0.047896,0.056776,-0.019728
1.160000,0.024805,-0.005243,9.831408,0.020054,-0.014737,0.012048,0.013212,0.028205,-0.054158
1.200000,0.001928,-0.032327,9.835675,0.015572,-0.033514,0.050900,0.016686,0.023051,-0.078674
1.240000,0.001555,-0.068028,9.854073,-0.002792,-0.057845,0.028000,0.024609,-0.032597,-0.059741
1.280000,0.040708,-0.053406,9.787935,0.024747,-0.072927,-0.009669,0.039435,-0.054054,-0.060425
1.320000,0.017206,-0.065567,9.833774,0.019077,-0.084054,0.030427,0.036428,-0.051031,-0.056649
1.360000,-0.000103,-0.096393,9.825517,-0.010534,-0.075655,0.010411,0.042123,0.002161,-0.037442
1.400000,-0.038802,-0.093873,9.807667,-0.030406,-0.095641,-0.001202,0.066105,-0.067138,-0.098767
1.440000,0.006864,-0.036407,9.814244,0.003140,-0.043464,-0.003060,0.004868,-0.040503,-0.031893
1.480000,-0.092667,-0.101473,9.806186,-0.067771,-0.105890,-0.005941,0.139722,-0.078405,-0.021619
1.520000,-0.032010,-0.068628,9.825288,-0.022507,-0.083783,0.019628,0.154749,-0.080124,-0.043131
1.560000,-0.020402,-0.104231,9.837281,-0.020341,-0.117307,0.004349,0.154247,-0.085212,-0.037965
1.600000,-0.058726,-0.067502,9.799028,-0.055093,-0.070153,-0.021593,0.154258,-0.059586,-0.049453
1.640000,-0.035060,-0.049663,9.791646,-0.022054,-0.072434,-0.022886,0.268024,-0.087981,-0.038855
1.680000,-0.049639,-0.065314,9.830232,-0.044642,-0.074682,0.009844,0.276214,-0.098174,-0.018990
1.720000,-0.053871,-0.083811,9.813325,-0.057168,-0.080297,0.013905,0.370162,-0.085075,-0.013913
1.760000,-0.029524,-0.060238,9.834844,-0.028662,-0.054715,-0.007777,0.394883,-0.127687,-0.005537
1.800000,-0.070219,-0.045479,9.762191,-0.070828,-0.057912,-0.031494,0.558588,-0.096508,-0.000583
1.840000,-0.025103,-0.049207,9.852936,-0.032423,-0.041278,0.041238,0.547126,-0.101510,0.011818
1.880000,-0.093075,0.005601,9.842365,-0.089643,0.009699,0.036661,0.667403,-0.102193,0.016613
1.920000,-0.030375,-0.018847,9.753564,-0.043966,-0.016452,-0.051569,0.694893,-0.122334,-0.012587
