Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.013339,0.101545,9.820185,0.026455,0.102114,0.009604,-0.028266,0.214972,0.028312
0.040000,0.072444,0.117101,9.805139,0.072524,0.113891,-0.011806,0.171205,0.168343,0.134836
0.080000,0.124057,0.094800,9.793880,0.114842,0.100803,0.000098,0.320035,0.145647,0.170489
0.120000,0.138340,0.032519,9.810447,0.121148,0.018261,-0.012764,0.406288,0.055281,0.234136
0.160000,0.111097,0.016279,9.830054,0.110552,-0.002813,0.017309,0.467606,0.014982,0.260623
0.200000,0.078679,-0.026406,9.817448,0.088941,-0.036402,-0.003425,0.408955,-0.073316,0.184778
0.240000,0.058871,-0.074550,9.829023,0.050857,-0.065405,0.003284,0.315649,-0.134321,0.128667
0.280000,-0.021315,-0.076878,9.838636,-0.020031,-0.079275,0.019482,0.145936,-0.204281,0.060544
0.320000,-0.054016,-0.122652,9.858620,-0.057296,-0.112076,0.020585,-0.023255,-0.201735,-0.022534
0.360000,-0.069585,-0.096295,9.816732,-0.075348,-0.087588,0.007668,-0.182571,-0.192514,-0.131568
0.400000,-0.100709,-0.086768,9.795314,-0.105764,-0.084522,-0.012238,-0.344525,-0.144868,-0.244491
0.440000,-0.151345,-0.003765,9.781049,-0.139474,-0.005462,-0.021720,-0.386991,-0.073663,-0.249193
0.480000,-0.109145,-0.026955,9.838328,-0.111916,-0.025651,0.010895,-0.470723,-0.039964,-0.219060
0.520000,-0.089148,0.011384,9.837818,-0.079980,0.007605,0.019591,-0.422155,0.083366,-0.216456
0.560000,-0.056694,0.057449,9.873918,-0.063174,0.051534,0.072451,-0.304295,0.137890,-0.123457
0.600000,-0.027513,0.089426,9.919782,-0.041024,0.085286,0.100882,-0.168402,0.169967,-0.036874
0.640000,0.038111,0.104233,10.047978,0.033985,0.102140,0.232953,0.018178,0.233172,0.018189
0.680000,0.084305,0.098838,10.139915,0.102531,0.099224,0.349468,0.176120,0.215858,0.131333
0.720000,0.098169,0.085544,10.432158,0.091293,0.069968,0.605015,0.321337,0.108987,0.191710
0.760000,0.119968,0.045783,10.732778,0.123050,0.042542,0.928504,0.396229,0.054982,0.243853
0.800000,0.099574,0.010618,11.077250,0.090938,0.003121,1.281214,0.467463,0.011575,0.257071
0.840000,0.090911,-0.076275,11.516171,0.074570,-0.069799,1.697571,0.432283,-0.094138,0.203724
0.880000,0.083742,-0.098497,11.956069,0.073748,-0.089845,2.136604,0.307692,-0.147766,0.152270
0.920000,0.000035,-0.086587,12.260822,0.004523,-0.090918,2.441585,0.187542,-0.193318,0.012460
0.960000,-0.033417,-0.109486,12.538538,-0.022045,-0.112132,2.715729,-0.005719,-0.194296,-0.074229
1.000000,-0.125633,-0.088183,12.646777,-0.126235,-0.097964,2.825394,-0.171955,-0.192155,-0.146283
1.040000,-0.118691,-0.073131,12.522663,-0.112283,-0.069471,2.703362,-0.346495,-0.136384,-0.191409
1.080000,-0.094129,-0.029948,12.285019,-0.107481,-0.024294,2.481688,-0.463506,-0.075588,-0.259694
1.120000,-0.095418,0.025067,11.939755,-0.103360,0.018506,2.136429,-0.434518,-0.004464,-0.229723
1.160000,-0.086601,0.066006,11.562897,-0.080405,0.055436,1.736185,-0.358133,0.086204,-0.229521
1.200000,-0.046920,0.057837,11.157110,-0.054691,0.070515,1.353750,-0.319882,0.136337,-0.111373
1.240000,0.021272,0.149338,10.860643,0.025730,0.136531,1.058901,-0.157230,0.161594,0.004408
1.280000,0.051269,0.089589,10.614055,0.042688,0.104834,0.811087,0.028606,0.198035,0.056443
1.320000,0.110622,0.100835,10.586891,0.113704,0.089970,0.778984,0.212056,0.162293,0.154405
1.360000,0.121691,0.048280,10.684786,0.114438,0.061719,0.860846,0.331491,0.147004,0.242322
1.400000,0.132198,0.043498,10.881585,0.138076,0.046650,1.065848,0.436034,0.066282,0.274208
1.440000,0.079442,0.006963,11.165301,0.092318,0.009533,1.362049,0.437041,-0.015114,0.250884
1.480000,0.072088,-0.038766,11.572305,0.082538,-0.040085,1.748245,0.402704,-0.058382,0.256319
1.520000,0.050152,-0.087641,11.941824,0.053520,-0.078319,2.135390,0.326510,-0.146545,0.145663
1.560000,-0.018988,-0.118378,12.300325,-0.018535,-0.101574,2.498008,0.160318,-0.186780,0.043442
1.600000,-0.081485,-0.093248,12.543723,-0.068064,-0.085776,2.724159,-0.062634,-0.173139,-0.047299
1.640000,-0.098553,-0.051687,12.618064,-0.097814,-0.059071,2.797062,-0.189945,-0.166158,-0.140606
1.680000,-0.114903,-0.076732,12.521639,-0.121221,-0.076856,2.697750,-0.294796,-0.125451,-0.208650
1.720000,-0.085519,-0.051955,12.265186,-0.092647,-0.052847,2.461751,-0.424657,-0.053373,-0.248602
1.760000,-0.145514,-0.011266,11.953585,-0.141264,-0.008035,2.145746,-0.441640,0.007314,-0.202973
1.800000,-0.102764,0.055771,11.493251,-0.089910,0.055338,1.700616,-0.449802,0.080720,-0.197756
1.840000,0.004555,0.068746,11.100391,-0.015880,0.062636,1.312263,-0.309595,0.119604,-0.121141
1.880000,-0.007957,0.111527,10.821599,0.004215,0.097390,1.023793,-0.149275,0.171659,-0.039832
1.920000,0.073695,0.117065,10.613208,0.073498,0.119300,0.810522,0.025277,0.186881,0.069604
1.960000,0.102693,0.073893,10.544518,0.089605,0.076249,0.731880,0.183855,0.200946,0.147132
