Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.013965,0.040598,9.799456,0.010655,0.045480,0.022029,-0.033156,0.024999,0.053715
0.040000,0.027849,0.017522,9.761686,0.022612,0.030767,-0.046788,-0.002279,0.057692,0.065878
0.080000,0.036848,-0.010002,9.848542,0.024110,-0.000295,0.029967,-0.003984,0.009156,0.029303
0.120000,-0.004388,0.078733,9.846198,-0.001494,0.066316,0.051260,0.015923,0.048597,0.085433
0.160000,-0.014445,0.075410,9.885336,-0.029892,0.065840,0.036452,0.018441,0.037359,0.038829
0.200000,0.047396,0.022773,9.770891,0.041559,0.034169,-0.036912,0.028255,0.035231,0.050569
0.240000,0.038747,0.050718,9.785860,0.057537,0.065386,-0.032566,0.040366,0.063395,0.051787
0.280000,-0.002539,0.042096,9.829867,-0.005542,0.048008,0.002283,0.026067,0.073032,0.025842
0.320000,0.029732,0.106007,9.836628,0.029906,0.088049,0.017565,0.008314,0.088166,0.031897
0.360000,0.030427,0.086422,9.834528,0.020586,0.082230,0.026128,0.005434,0.102729,0.050699
0.400000,0.058937,0.065250,9.792255,0.047139,0.067614,-0.023757,0.015416,0.105971,0.027548
0.440000,0.061710,0.052574,9.804870,0.071427,0.053831,-0.002232,-0.050521,0.131562,0.048822
0.480000,0.051120,0.059733,9.784039,0.042057,0.078547,-0.024547,-0.003866,0.149684,0.039782
0.520000,0.036853,0.086753,9.762588,0.038145,0.089672,-0.030202,-0.045683,0.116155,0.001282
0.560000,0.050062,0.116992,9.818288,0.057154,0.104590,0.012191,-0.018370,0.108558,0.002312
0.600000,0.021910,0.084722,9.789754,0.007421,0.088666,-0.002203,-0.036893,0.115775,-0.004668
0.640000,0.061960,0.088472,9.823591,0.066720,0.090914,0.013663,0.009730,0.115306,-0.010717
0.680000,0.071000,0.055803,9.786744,0.070678,0.052512,-0.017151,0.015042,0.107027,0.019850
0.720000,0.047928,0.010838,9.837615,0.048675,0.022078,0.020090,0.030429,0.086621,-0.012722
0.760000,0.043501,0.024249,9.753740,0.038354,0.020919,-0.033826,-0.024138,0.086205,-0.056483
0.800000,0.052806,0.032913,9.782413,0.039610,0.041191,-0.013663,-0.016364,0.122254,-0.042901
0.840000,0.053423,0.018087,9.762995,0.037329,0.023080,-0.033202,0.027208,0.117900,-0.045254
0.880000,0.047977,0.023206,9.818315,0.038928,0.026988,0.008536,-0.012567,0.102695,-0.033383
0.920000,-0.011230,0.030797,9.860699,0.005667,0.034572,0.054375,-0.017579,0.083661,-0.011230
0.960000,0.056153,0.023599,9.837508,0.041579,0.022578,0.011060,0.018448,0.069819,-0.036470
1.000000,0.028052,-0.047642,9.807576,0.022044,-0.046906,-0.003051,0.013986,0.043086,-0.058673
1.040000,0.036567,0.039751,9.804078,0.025594,0.041570,-0.005924,0.025547,0.047406,-0.077490
1.080000,0.006145,-0.010850,9.776772,0.009159,-0.012069,-0.017401,0.014585,0.035085,-0.035287
1.120000,0.023539,-0.032739,9.838823,0.023664,-0.023661,0.033155,-0.005971,0.010227,-0.072232
1.160000,0.047299,-0.063086,9.802342,0.037801,-0.041509,0.012358,0.040231,0.031266,-0.096627
1.200000,0.030555,-0.052706,9.767201,0.010440,-0.052619,-0.050205,0.030831,0.000262,-0.062295
1.240000,-0.029543,-0.039634,9.855113,-0.031480,-0.032758,0.032651,0.012401,0.003825,-0.094692
1.280000,-0.016160,-0.076566,9.761272,-0.003680,-0.081112,-0.026113,0.040678,-0.038624,-0.056607
1.320000,0.001412,-0.066931,9.790995,-0.004555,-0.061412,-0.019672,0.025991,-0.009251,-0.076799
1.360000,-0.016606,-0.061045,9.820512,-0.014741,-0.042066,0.012080,0.013651,-0.024169,-0.073456
1.400000,-0.044284,-0.073485,9.810136,-0.033726,-0.072287,-0.017928,0.053507,-0.054443,-0.119995
1.440000,-0.025213,-0.057803,9.862324,-0.023894,-0.068318,0.067318,0.116969,-0.027682,-0.040619
1.480000,-0.005717,-0.104807,9.791504,-0.010488,-0.107936,-0.007098,0.117907,-0.067185,-0.082209
1.520000,-0.026775,-0.077517,9.833051,-0.037303,-0.063311,0.019091,0.131154,-0.072608,-0.068939
1.560000,-0.012365,-0.077450,9.756507,-0.007535,-0.071196,-0.046176,0.133843,-0.115558,-0.045990
1.600000,-0.055933,-0.083057,9.785242,-0.051532,-0.078090,-0.018228,0.169493,-0.108115,-0.047537
1.640000,-0.063169,-0.059788,9.799685,-0.062152,-0.057949,-0.003508,0.243543,-0.112689,0.006944
1.680000,-0.031190,-0.096285,9.848410,-0.048750,-0.090415,0.030571,0.293052,-0.090235,-0.067448
1.720000,-0.073491,-0.043178,9.795801,-0.086912,-0.025617,-0.031241,0.375100,-0.091736,-0.034246
1.760000,-0.042452,0.001708,9.846363,-0.048098,0.003083,0.037600,0.452075,-0.126426,-0.004228
